fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
54334af2-aec1-4db4-a1eb-add61f3314e9,1,36,313.0,313.0,190,38,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
7b426f97-1526-495d-9e40-013ff25c2b68,1,10,821.0,821.0,190,67,&,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",unresolved,485.59999999999997,20,494.79999999999995,40,490.19999999999993,30.0
f20339e8-6804-4531-bdaa-937a03fa3c79,1,35,581.0,581.0,192,24,instanceof,        if (type instanceof Class),matched,246.39999999999998,60,338.4,80,292.4,70.0
0191ffb3-f3a4-4dbb-a0f6-1ff0d273dcb1,1,16,236.0,236.0,192,33,Class,        if (type instanceof Class),matched,347.59999999999997,60,393.59999999999997,80,370.59999999999997,70.0
c8838196-f5a1-4f68-b237-db7cdcb4c296,1,20,612.0,612.0,193,1,WHITESPACE,        {,approx_whitespace,163.6,80,172.8,100,168.2,90.0
10eb5b51-33b1-4b0a-8e5c-064e1166675d,1,21,307.0,307.0,194,2,WHITESPACE,            if (type == ref.ifaceClass),approx_whitespace,439.59999999999997,100,448.79999999999995,120,444.19999999999993,110.0
48a2ddd5-212e-40f5-b94a-7b00d5eef812,1,14,200.0,200.0,194,39,),            if (type == ref.ifaceClass),matched,439.59999999999997,100,448.79999999999995,120,444.19999999999993,110.0
130abcde-5fa7-4d80-a852-c6df2269982f,1,2,416.0,416.0,196,23,this,                // is this a straight ref or a TypeVariable?,matched,292.4,140,329.2,160,310.79999999999995,150.0
a8a034aa-05d4-4116-8d3f-4665f161428a,1,19,124.0,124.0,196,36,straight,                // is this a straight ref or a TypeVariable?,matched,356.79999999999995,140,430.4,160,393.59999999999997,150.0
55fb1374-3ef2-449d-b2f7-08b9950f900a,1,6,370.0,370.0,197,33,ref,"                // debug(""Found ref (as class): %s"",toShortName(type));",matched,384.4,160,412.0,180,398.2,170.0
